RX_CALL,TX_CALL,MHZ,RX_LAT,RX_LON,TX_LAT,TX_LON
WE9V,N8PW,7.03,42.5625,-88.0417,40.8542,-81.375
WE9V,AA3B,7.03,42.5625,-88.0417,40.3542,-75.625
WE9V,KU4V,7.03,42.5625,-88.0417,35.7292,-78.7083
WE9V,AA2MF,7.03,42.5625,-88.0417,27.8125,-82.7917
WE9V,K3WW,7.03,42.5625,-88.0417,40.3958,-75.2917
WE9V,K4BAI,7.03,42.5625,-88.0417,32.4792,-84.9583
WE9V,W1SJ,7.03,42.5625,-88.0417,43.4792,-73.125
WE9V,VE3MGY,7.03,42.5625,-88.0417,42.6875,-81.0417
WE9V,K1BX,7.03,42.5625,-88.0417,43.0625,-71.625
WE9V,K8JQ,7.03,42.5625,-88.0417,38.3542,-81.625
WE9V,AA2MF,14.03,42.5625,-88.0417,27.8125,-82.7917
WE9V,N4BP,14.03,42.5625,-88.0417,26.1458,-80.2917
WE9V,K7VIT,14.03,42.5625,-88.0417,45.5625,-122.625
WE9V,N1MD,14.03,42.5625,-88.0417,41.8542,-71.875
WE9V,N1IXF,14.03,42.5625,-88.0417,41.8958,-72.7917
WE9V,W7SE,14.03,42.5625,-88.0417,41.3958,-105.625
WE9V,W1UJ,14.03,42.5625,-88.0417,42.0625,-71.875
WE9V,KS7T,14.03,42.5625,-88.0417,45.9792,-112.5417
WE9V,AA3B,14.03,42.5625,-88.0417,40.3542,-75.625
WE9V,W6RW,14.03,42.5625,-88.0417,32.7292,-114.625